line name	trials
CI14286	2011_9K_NB_allplates
CI14287	2011_9K_NB_allplates
CI14291	2011_9K_NB_allplates
CI14326	2011_9K_NB_allplates
CI14327	2011_9K_NB_allplates
CI14328	2011_9K_NB_allplates
CI14332	2011_9K_NB_allplates
CI14341	2011_9K_NB_allplates
CI14401	2011_9K_NB_allplates
CI15625	2011_9K_NB_allplates
CI2631	2011_9K_NB_allplates
CI3199	2011_9K_NB_allplates
CI3214	2011_9K_NB_allplates
CI3346	2011_9K_NB_allplates
CI3348	2011_9K_NB_allplates
CI3356	2011_9K_NB_allplates
CI3412	2011_9K_NB_allplates
CI3512	2011_9K_NB_allplates
CI3549	2011_9K_NB_allplates
CI3581	2011_9K_NB_allplates
CI3642	2011_9K_NB_allplates
CI3709	2011_9K_NB_allplates
CI3734	2011_9K_NB_allplates
CI3826	2011_9K_NB_allplates
CI3853	2011_9K_NB_allplates
CI3865	2011_9K_NB_allplates
CI3886	2011_9K_NB_allplates
CI4208	2011_9K_NB_allplates
CI4223	2011_9K_NB_allplates
CI4268	2011_9K_NB_allplates
CI4312	2011_9K_NB_allplates
CI4317	2011_9K_NB_allplates
CI4322	2011_9K_NB_allplates
CI4330	2011_9K_NB_allplates
CI4332	2011_9K_NB_allplates
CI4333	2011_9K_NB_allplates
CI4334	2011_9K_NB_allplates
CI4336	2011_9K_NB_allplates
CI4622	2011_9K_NB_allplates
CI4969	2011_9K_NB_allplates
CI497	2011_9K_NB_allplates
CI5023	2011_9K_NB_allplates
CI5024	2011_9K_NB_allplates
CI5329	2011_9K_NB_allplates
CI5337	2011_9K_NB_allplates
CI6496	2011_9K_NB_allplates
CI6549	2011_9K_NB_allplates
CI6591	2011_9K_NB_allplates
CI6901	2011_9K_NB_allplates
CI6902	2011_9K_NB_allplates
CI7240	2011_9K_NB_allplates
CI7491	2011_9K_NB_allplates
CI7492	2011_9K_NB_allplates
CI7497	2011_9K_NB_allplates
CI7500	2011_9K_NB_allplates
CI7502	2011_9K_NB_allplates
CI7503	2011_9K_NB_allplates
CI7504	2011_9K_NB_allplates
CI7791	2011_9K_NB_allplates
CI9878	2011_9K_NB_allplates
CIHO14051	2011_9K_NB_allplates
CIHO14053	2011_9K_NB_allplates
CIHO14054	2011_9K_NB_allplates
CIHO14055	2011_9K_NB_allplates
CIHO14059	2011_9K_NB_allplates
CIHO14085	2011_9K_NB_allplates
CIHO14124	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
CIHO3389	2011_9K_NB_allplates
CLUJ100/58	2011_9K_NB_allplates
CLUJ154	2011_9K_NB_allplates
CNC201791	2011_9K_NB_allplates
COELESTE	2011_9K_NB_allplates
COLSESS_IV	2011_9K_NB_allplates
COMMUNE_A	2011_9K_NB_allplates
COMTESSE	2011_9K_NB_allplates
COMUN_HULLED	2011_9K_NB_allplates
COMUN_HULLESS	2011_9K_NB_allplates
COWRA	2011_9K_NB_allplates
CRIOLLA	2011_9K_NB_allplates
CRIOLLA_BLANCA	2011_9K_NB_allplates
CT-27	2011_9K_NB_allplates
D.I.V.2305	2011_9K_NB_allplates
DA_MAI	2011_9K_NB_allplates
DAE_CHON_YUC_KAC	2011_9K_NB_allplates
DAGHESTANSKIJ239	2011_9K_NB_allplates
DAN_NO.1	2011_9K_NB_allplates
DERBENT	2011_9K_NB_allplates
DEXIAN_MANG_DA_MAI	2011_9K_NB_allplates
DJEBALI|CIHO15286	2011_9K_NB_allplates
DJEBALI|CIHO15288	2011_9K_NB_allplates
DJEBALI|CIHO15290	2011_9K_NB_allplates
DJEBALI|CIHO15291	2011_9K_NB_allplates
DJEBALI|CIHO15299	2011_9K_NB_allplates
DJEBALI|CIHO15310	2011_9K_NB_allplates
DJEBALI|CIHO15313	2011_9K_NB_allplates
DJEBALI|CIHO15339	2011_9K_NB_allplates
DJEBALI|CIHO15355	2011_9K_NB_allplates
DOBAKU	2011_9K_NB_allplates
DOJNA	2011_9K_NB_allplates
DONG_DA_MAI	2011_9K_NB_allplates
DONJON	2011_9K_NB_allplates
DONSKOJ	2011_9K_NB_allplates
DZAU-BAPUST_MESTNYJ	2011_9K_NB_allplates
DZAU-KABUTAK	2011_9K_NB_allplates
DZVELTESLI_MESTNYJ	2011_9K_NB_allplates
E1/183	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
E435/5	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
E508/3	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
E586/6	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
E81/2	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
EARLY_RUSSIAN	2011_9K_NB_allplates
EDDA_II	2011_9K_NB_allplates
EGYPT4SELECTION	2011_9K_NB_allplates
ELS6302-213	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ELS6402-282	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ELS6402-467|CIHO14880	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ELS6402-468	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ELS6402-469	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ENTRESOLE	2011_9K_NB_allplates
ERA	2011_9K_NB_allplates
EREMO|CIHO2239	2011_9K_NB_allplates
EREMO|PI39365	2011_9K_NB_allplates
ESCOURGEON_DE_VENDEE	2011_9K_NB_allplates
ETU	2011_9K_NB_allplates
F-25	2011_9K_NB_allplates
FIELD5916	2011_9K_NB_allplates
FIMBUL	2011_9K_NB_allplates
FINLAND	2011_9K_NB_allplates
FL7138A3-102	2011_9K_NB_allplates
FREAK|CIHO14807	2011_9K_NB_allplates
FRIGUI	2011_9K_NB_allplates
FU_RUI	2011_9K_NB_allplates
FUANWAISARUPORI	2011_9K_NB_allplates
FUNDULEA245/64	2011_9K_NB_allplates
FUNDULEA653/63	2011_9K_NB_allplates
G-65161-9	2011_9K_NB_allplates
G-76690	2011_9K_NB_allplates
GA-25	2011_9K_NB_allplates
GATERSLEBEN_MUTANT501	2011_9K_NB_allplates
GAW42-1	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
GAW72-8	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
GAW87-1	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
GAW99-4	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
GEMBLOUX14	2011_9K_NB_allplates
GIBERNACULUM9006	2011_9K_NB_allplates
GIPSY	2011_9K_NB_allplates
GOLDFOIL|PI290230	2011_9K_NB_allplates
GOZEN	2011_9K_NB_allplates
GRIECHSCHE	2011_9K_NB_allplates
GRUSHEVSKY	2011_9K_NB_allplates
H-2127	2011_9K_NB_allplates
H-2180	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
H-2213	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
HACK	2011_9K_NB_allplates
